OBJECTID,ROUTEPATTERN,AGENCYNAME,ROUTENAME,ROUTENUMBER,MODE,Shape__Length
31718,32302,GBT,Panmure To Otahuhu Station Via Panama Rd,323,Bus,11393.746054484
31719,32411,GBT,Mangere Town Centre To Seaside Park Via Otahuhu,324,Bus,11389.5748871533
31720,32412,GBT,Seaside Park To Mangere Town Centre Via Otahuhu,324,Bus,11431.1209544661
31721,32503,GBT,Mangere Town Ctr To Manukau Station Via Otahuhu & Otara,325,Bus,22363.1134595738
31722,32504,GBT,Manukau Bus Station To Mangere Town Ctr Via Otara & Otahuhu,325,Bus,22378.5426793764
31723,32601,GBT,Mangere Town Centre To Otahuhu Station Via Tidal Road,326,Bus,10878.507917808
31724,32602,GBT,Otahuhu Station To Mangere Town Centre Via Tidal Road,326,Bus,10611.4049479703
31725,33302,NZB,Britomart To Otahuhu Limited Stops Via Great South Rd,333X,Bus,16189.6776243328
31726,35103,HE,Botany To Otahuhu Station Via Highbrook,351,Bus,13650.6699367618
31727,35104,HE,Otahuhu Station To Botany Via Highbrook,351,Bus,13933.8637477484
31728,35203,HE,Manukau Bus Station To Panmure Via East Tamaki,352,Bus,20900.3691463989
31729,35204,HE,Panmure To Manukau Bus Station Via East Tamaki,352,Bus,21113.2795656844
31730,35303,HE,Manukau Bus Station To Botany Town Centre Via Preston Rd,353,Bus,11188.9183002005
31731,35304,HE,Botany Town Centre To Manukau Bus Station Via Preston Rd,353,Bus,11156.8341444699
31732,35503,HE,Ormiston To Botany Via Mission Heights,355,Bus,10721.1137086826
31733,35504,HE,Botany To Manukau Bus Station Via Mission Heights & Ormiston,355,Bus,16125.6533912712
31734,35505,HE,Manukau Bus Station To Botany Via Ormiston & Mission Heights,355,Bus,16559.4222784867
31735,36101,RTH,Manurewa Interchange To Otara / Mit Via Mahia Rd,361,Bus,21938.9166915458
31736,36102,RTH,Otara / Mit To Manurewa Interchange Via Mahia Rd,361,Bus,22150.6378252306
31737,36104,RTH,MIT To Manurewa Interchange Via Mahia Rd,361,Bus,14591.1401098815
31738,36203,RTH,Weymouth To Manukau Bus Station Via Great South Rd,362,Bus,12238.8732037956
31739,36204,RTH,Manukau Bus Station To Weymouth Via Great South Rd,362,Bus,11171.0405557808
31740,36302,RTH,Manurewa Interchange To Wattle Downs Loop,363,Bus,10380.3630880934
31741,36503,RTH,Papakura Interchange To Manukau Bus Station Via Porchester,365,Bus,18127.2914709251
31742,36504,RTH,Manukau Bus Station To Papakura Interchange Via Porchester,365,Bus,17947.5798479835
31743,36605,RTH,Manurewa Interchange To Manukau Bus Station Via The Gardens,366,Bus,13096.4003408086
31744,36606,RTH,Manukau Bus Station To Manurewa Via The Gardens,366,Bus,13498.3641477615
31745,37202,RTH,Papakura Shops To Keri Hill Loop,372,Bus,6670.24325280883
31746,37301,RTH,Red Hill To Papakura Shops,373,Bus,6307.94259613385
31747,37302,RTH,Papakura Shops To Red Hill,373,Bus,6775.55457516489
31748,37604,RTH,Papakura Shops To Auranga Dr Via Drury,376,Bus,11215.1031145162
31749,37701,RTH,Pahurehure To Papakura Interchange,377,Bus,5324.04261264853
31750,37702,RTH,Papakura Interchange To Pahurehure,377,Bus,5154.50943277375
31751,37802,RTH,Papakura Shops To Karaka Harbourside Loop And Karaka Lakes,378,Bus,11646.5866664104
31752,38017,GBT,Airport Link Via Puhinui Station,AIR,Bus,17916.8731726936
31753,39104,RTH,Pukekohe Northeast Loop,391,Bus,7396.29931397164
31754,39220,RTH,Pukekohe Station To Pukekohe Station,392,Bus,9400.35245674944
31755,39304,RTH,Pukekohe South Loop,393,Bus,7943.13955471419
31756,39405,RTH,Pukekohe Station To Papakura Station Via Paerata Rise,394,Bus,21601.0320634721
31757,39406,RTH,Papakura Station To Pukekohe Station Via Paerata Rise,394,Bus,21406.7372588263
31758,39501,RTH,Waiuku To Papakura Interchange,395,Bus,35477.770207852
31759,39502,RTH,Papakura Interchange To Waiuku,395,Bus,34406.6522339573
31760,39607,RTH,Waiuku To Pukekohe Interchange Via Kitchener Rd And Patumaho,396,Bus,27066.9598126497
31761,39608,RTH,Pukekohe Interchange To Waiuku Via Patumahoe And Victoria Av,396,Bus,27281.4214686607
31762,39609,RTH,Pukekohe Interchange To Waiuku Loop Via Patumahoe,396,Bus,37982.2891508383
31763,39903,RTH,Port Waikato To Pukekohe Interchange Via Tuakau,399,Bus,43949.2347667499
31764,39904,RTH,Pukekohe To Port Waikato Via Tuakau,399,Bus,44203.1088692488
31765,44416,ATMB,Newmarket To Onehunga Onehunga Rail Bus,RBO,Bus,11156.470380466
31766,44417,ATMB,Onehunga To Newmarket Onehunga Rail Bus,RBO,Bus,11416.0342305226
31767,50101,WBC,Kennedy Point to Matiatia Wharf,501,Bus,8090.39112516775
31768,50102,WBC,Matiatia Wharf To Kennedy Point,501,Bus,8751.21073217083
31769,50201,WBC,Rocky Bay to Matiatia Wharf,502,Bus,14658.589205597
31770,50202,WBC,Matiatia Wharf to Rocky Bay,502,Bus,14485.0096640232
31771,55512,ATMB,Otahuhu To Manukau Eastern Rail Bus,RBE,Bus,10480.1958788052
31772,55513,ATMB,Manukau To Otahuhu Eastern Rail Bus,RBE,Bus,10374.9060740632
31773,55518,ATMB,Britomart To Panmure Eastern Rail Bus,RBE,Bus,18109.6023031505
31774,55519,ATMB,Panmure To Britomart Eastern Rail Bus,RBE,Bus,18177.5178099546
31775,55520,ATMB,Britomart To Otahuhu Via All Stations,RBE,Bus,25493.3905107896
31776,55521,ATMB,Otahuhu To Britomart Via All Stations,RBE,Bus,25724.8460917671
31777,55524,ATMB,Britomart To Manukau Eastern Rail Bus,RBE,Bus,36282.025510072
31778,55525,ATMB,Manukau To Britomart Eastern Rail Bus,RBE,Bus,36466.2862536728
31779,65001,NZB,Pt Chevalier Shops To Glen Innes Via Greenlane,650,Bus,16493.5898287415
31780,65002,NZB,Glen Innes To Pt Chevalier Shops Via Greenlane And Balmoral,650,Bus,16867.5485751416
31781,65003,NZB,Selwyn Village To Glen Innes Via Balmoral Rd And Greenlane,650,Bus,18038.0496752711
31782,65004,NZB,Glen Innes To Selwyn Village Via Greenlane And Balmoral Rd,650,Bus,18684.8292721256
31783,67011,NZB,New Lynn To Otahuhu Via Avondale Stoddard Rd And Onehunga,670,Bus,21869.8512848217
31784,67012,NZB,Otahuhu To New Lynn Via Onehunga Stoddard Rd And Avondale,670,Bus,22511.198655221
31785,71101,GBT,Howick To Panmure Via Cascades Road,711,Bus,13498.3635325553
31786,71102,GBT,Panmure To Howick Via Cascades Road,711,Bus,13359.1348579652
31787,71201,GBT,Bucklands Beach To Panmure,712,Bus,13849.7022608729
31788,71202,GBT,Panmure To Bucklands Beach,712,Bus,13865.0330503477
31789,71203,GBT,Panmure To Bucklands Beach Loop,712,Bus,21885.5802832149
31790,72121,NZB,Outer Link Anticlockwise,OUT,Bus,24927.9936756174
31791,72123,NZB,Outer Link Anticlockwise Newmarket To St Lukes,OUT,Bus,16030.1304458845
31792,72125,NZB,Outer Link Anticlockwise St Lukes To Victoria St West,OUT,Bus,14335.2668606432
31793,72127,NZB,Outer Link Anticlockwise Grafton Rd To St Lukes,OUT,Bus,12413.3728872877
31794,72129,NZB,Outer Link Anticlockwise Jervois Rd To St Lukes,OUT,Bus,8084.47963116314
31795,72131,NZB,Outer Link Anticlockwise (VP),OUT,Bus,24927.9936756174
31796,73112,NZB,Outer Link Clockwise,OUT,Bus,24966.4793598545
31797,73114,NZB,Outer Link Clockwise Herne Bay To City Centre,OUT,Bus,3913.13574957523
31798,73116,NZB,Outer Link Clockwise St Lukes To City Centre,OUT,Bus,11836.2470542403
31799,73118,NZB,Outer Link Clockwise Newmarket To City Centre,OUT,Bus,20907.0065147525
31800,73120,NZB,Outer Link Clockwise (VP),OUT,Bus,24966.4793598545
31801,73301,GBT,Botany To The Parade Via Highland Park,733,Bus,12586.6903326889
31802,73302,GBT,Bucklands Beach To Botany Via Highland Park,733,Bus,12198.4549253238
31803,73303,GBT,Botany To Bucklands Beach Via Highland Park,733,Bus,10052.1982263324
31804,73401,GBT,Botany To Half Moon Bay Via Highland Park,734,Bus,9427.85784344286
31805,73402,GBT,Half Moon Bay To Botany Via Highland Park,734,Bus,9260.10859342165
31806,73501,GBT,Botany To Half Moon Bay Via Cockle Bay And Howick,735,Bus,14372.3512723484
31807,73502,GBT,Half Moon Bay To Botany Via Howick And Cockle Bay,735,Bus,14211.5676355562
31808,73901,GBT,Maraetai And Beachlands To Botany Via Whitford And Ormiston,739,Bus,30400.0587909617
31809,73902,GBT,Botany To Beachlands And Maraetai Via Ormiston And Whitford,739,Bus,28770.5949850289
31810,74401,GBT,Panmure To St Heliers Via Glen Innes,744,Bus,8713.240229047
31811,74402,GBT,St Heliers To Panmure Via Glen Innes,744,Bus,8852.60589964732
31812,74701,GBT,Panmure To Glen Innes Via Stonefields,747,Bus,6600.60926016867
31813,74702,GBT,Glen Innes To Panmure via Stonefields,747,Bus,6737.27984847115
31814,74703,GBT,Panmure To Selwyn College via Glen Innes,747,Bus,9189.65152590939
31815,75101,NZB,Panmure To Newmarket Via Marua Rd And Remuera Rd,751,Bus,8593.35857728557
31816,75102,NZB,Newmarket To Panmure Via Marua Rd And Remuera Rd,751,Bus,8711.73007589948
31817,75503,NZB,Benson Rd To Britomart Via Portland Rd,755,Bus,10709.5504900209
31818,75504,NZB,Britomart To Benson Rd Via Portland Rd,755,Bus,10137.3377809594
31819,77401,NZB,West Tamaki Rd To Britomart Via Long Dr And Tamaki Dr,774,Bus,11836.558967225
31820,77402,NZB,Britomart To West Tamaki Rd Via Tamaki Dr And Long Dr,774,Bus,12145.5112931781
31821,77501,NZB,Glendowie To Britomart Via Tamaki Dr,775,Bus,17355.0052639948
31822,77502,NZB,Britomart To Glendowie Via Tamaki Dr,775,Bus,15901.8960932505
31823,78101,NZB,Mission Bay To Museum Via Orakei,781,Bus,12684.8292162607
31824,78102,NZB,Museum To Mission Bay Via Orakei,781,Bus,12769.8430075535
31825,78103,NZB,Mission Bay To Newmarket Via Orakei,781,Bus,10851.4151232993
31826,78104,NZB,Newmarket To Mission Bay Via Orakei,781,Bus,11326.7944847225
31827,78201,GBT,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,782,Bus,17612.7710219459
31828,78202,GBT,Mission Bay To Sylvia Park Via Meadowbank And Ellerslie,782,Bus,17891.378841228
31829,78301,GBT,Eastern Bays Circuit Clockwise,783,Bus,15609.8544682564
31830,78302,GBT,Eastern Bays Circuit Anticlockwise,783,Bus,15891.1005971843
31831,79702,NZB,Wynyard Quarter to Karangahape Rd via Queen St,CTY,Bus,6750.69489179197
31832,79821,NZB,Inner Link Anticlockwise,INN,Bus,11802.5995790921
31833,79823,NZB,Inner Link Anticlockwise Newmarket To Victoria Park,INN,Bus,5730.73266751252
31834,79825,NZB,Inner Link Anticlockwise K Rd To Victoria Park,INN,Bus,8259.21209772243
31835,79831,NZB,Inner Link Anticlockwise (VP),INN,Bus,11802.5995790921
31836,79922,NZB,Inner Link Clockwise,INN,Bus,12171.0046891604
31837,79924,NZB,Inner Link Clockwise Customs St To Victoria Park,INN,Bus,10646.8113305623
31838,79926,NZB,Inner Link Clockwise Newmarkt To Victoria Park,INN,Bus,6833.08269736869
31839,79928,NZB,Inner Link Clockwise K Rd To Victoria Park,INN,Bus,3618.94166942323
31840,79934,NZB,Inner Link Clockwise (VP),INN,Bus,12171.0046891604
31841,80098,MEX,Parnell To Snells Beach,MEX,Bus,73821.489745507
31842,80099,MEX,Snells Beach To Parnell,MEX,Bus,74544.4661843533
31843,80101,NZB,Bayswater Wharf To Akoranga Station Via Takapuna,801,Bus,10070.3805595281
31844,80102,NZB,Akoranga Station To Bayswater Wharf Via Takapuna,801,Bus,9901.29356289228
31845,80201,NZB,Bayswater To City (Mayoral Dr),802,Bus,14313.6099356885
31846,80202,NZB,City (Mayoral Dr) To Bayswater,802,Bus,14271.4977019329
31847,80501,NZB,Devonport Wharf To Belmont Shops Via Ngataringa Rd,805,Bus,4113.57875956256
31848,80502,NZB,Belmont Shops To Devonport Wharf Via Ngataringa Rd,805,Bus,4038.55828394316
31849,80601,NZB,Devonport Wharf To Stanley Pt Loop,806,Bus,4151.97645503879
31850,80701,NZB,Devonport Wharf To Cheltenham Loop,807,Bus,3908.38591050326
31851,81401,NZB,Devonport Wharf To Akoranga Station Via Takapuna,814,Bus,9621.92388927259
31852,81402,NZB,Akoranga Station To Devonport Wharf Via Takapuna,814,Bus,9533.98418265486
31853,84201,NZB,Crown Hill To Smales Farm Station Via East Coast Rd,842,Bus,4684.3573034129
31854,84202,NZB,Smales Farm Station To Crown Hill Via East Coast Rd,842,Bus,4357.51717441528
31855,84303,NZB,Akoranga Station To Constellation Station Via Takapuna,843,Bus,11444.3719742144
31856,84304,NZB,Constellation Station To Akoranga Station Via Takapuna,843,Bus,12176.7345236214
31857,84501,RTH,Milford To Takapuna Via North Shore Hospital,845,Bus,7536.22683334838
31858,84502,RTH,Takapuna To Milford Via North Shore Hospital,845,Bus,7286.04116985462
31859,85601,RTH,Albany Station To Takapuna Via Beach Rd And Milford,856,Bus,26146.889786578
31860,85602,RTH,Takapuna to Albany Station Via Milford And Beach Rd,856,Bus,26005.9801194044
31861,85603,RTH,Mairangi Bay To Smales Farm Station Via Beach Rd And Milford,856,Bus,7286.59693542227
31862,85604,RTH,Smales Farm Station To Mairangi Bay Via Milford And Beach Rd,856,Bus,6938.51970457942
31863,85605,RTH,Albany Station To Browns Bay,856,Bus,11727.6637187757
31864,85606,RTH,Browns Bay To Albany Station,856,Bus,11778.3892012701
31865,86101,RTH,Long Bay To Constellation Station Via Bush Rd,861,Bus,17893.6367733244
31866,86102,RTH,Constellation Station To Long Bay Via Bush Rd,861,Bus,17797.7147164277
31867,86501,RTH,Browns Bay To Albany Station Via Oaktree Ave,865,Bus,5626.47559579116
31868,86502,RTH,Albany Station To Browns Bay Via Oaktree Ave,865,Bus,5563.62028751938
31869,86601,RTH,Albany Stn To Newmarket Via Ponsonby And Auckland Hospital,866,Bus,22438.5256476404
31870,86602,RTH,Newmarket To Albany Station Via Auckland Hospital & Ponsonby,866,Bus,22380.0056567346
31871,87101,NZB,Constellation Station To Takapuna Via Forrest Hill Rd,871,Bus,9484.75018184035
31872,87102,NZB,Takapuna To Constellation Station Via Forrest Hill Rd,871,Bus,9298.36818074425
31873,87104,NZB,Takapuna to Constellation Station Via Forrest Hill Rd,871,Bus,9298.36818074425
31874,87801,RTH,Browns Bay To Constellation Station Via and East Coast Rd,878,Bus,12322.2603751546
31875,87802,RTH,Constellation Station To Browns Bay Via East Coast Rd,878,Bus,12116.3537131427
31876,87803,RTH,Northcross To Constellation Station Via East Coast Rd,878,Bus,6621.42627078076
31877,87804,RTH,Constellation Station To Northcross Via East Coast Rd,878,Bus,6545.88977224701
31878,88301,RTH,Schnapper Rock To Constellation Station,883,Bus,7824.58737201158
31879,88302,RTH,Constellation Station To Schnapper Rock,883,Bus,6130.04634413757
31880,88304,RTH,Constellation Station To Schnapper Rock (Full Loop),883,Bus,8117.50402979857
31881,88401,RTH,Constellation Station To NHIE Loop Anticlockwise,884,Bus,9122.25965296973
31882,88501,RTH,Constellation Station To NHIE Loop Clockwise,885,Bus,9675.22485345549
31883,88801,RTH,Albany Heights Loop,888,Bus,8478.53441531405
